time,Rel_L_HIP_pos,Rel_L_KNE_pos,Rel_L_HIP_vel,Rel_L_KNE_vel
0.0,1.614995002746582,1.5903306007385254,-0.11026318206113808,0.03443361724575058
0.01015,1.6138333779573442,1.590679943561554,-0.09718363664380103,0.03605701050415836
0.0203,1.6141908621788024,1.5903916263580322,-0.08467503048899494,0.03750599137189973
0.03045,1.6127962654829027,1.590611596107483,-0.07286269787614964,0.03845945504157989
0.0406,1.6148303031921387,1.5917196464538574,-0.06182438830465868,0.038634351539694384
0.05075,1.6123628348112107,1.5922148823738098,-0.05158537947462583,0.03781357111032776
0.0609,1.612403905391693,1.5921486043930053,-0.04211796861500695,0.035867603077239574
0.07105,1.610808583498001,1.5931551861763003,-0.033345886251797914,0.032767957984545994
0.0812,1.610321364402771,1.5936010360717774,-0.025153720765849343,0.028591175538794127
0.09135,1.6099733501672744,1.5938858127593996,-0.017401004182561387,0.023513171110393954
0.1015,1.6100650072097777,1.5943384885787966,-0.00994020749262271,0.017794599769272976
0.11165,1.6108465713262559,1.5942732524871825,-0.0026375233847504833,0.011758739533281052
0.1218,1.6113726902008056,1.5943186759948729,0.004605026063279635,0.00576403060536822
0.13195,1.6104793334007264,1.5941083526611328,0.011827910735563309,0.00017379838888673615
0.1421,1.6105239939689637,1.5938906240463258,0.01899479964174871,-0.00467418575813404
0.15225,1.6105735778808594,1.593839406967163,0.02597767861277968,-0.008495774364824292
0.1624,1.6100160455703736,1.5931130599975587,0.032548304273475985,-0.011083935917074723
0.17255,1.6113200271129609,1.5931684756278994,0.03837764688243033,-0.012325918926940835
0.1827,1.612629451751709,1.5940598487854005,0.04304454045265562,-0.012212862428872458
0.19285,1.6125722759962082,1.5943393158912658,0.04605418268361119,-0.01084116526541681
0.203,1.6133797764778137,1.5941212654113768,0.04686642360162797,-0.008405452260056064
0.21315,1.6135533869266512,1.5937158656120303,0.04493296066565741,-0.005183492549875813
0.2233,1.6137110257148741,1.5938242435455323,0.03974164170959027,-0.0015139534670184902
0.23345,1.6121883088350297,1.5929986572265626,0.030865120253086263,0.0022315751373737226
0.2436,1.61293532371521,1.5930532455444335,0.01801020989677444,0.005680291939773058
0.25375,1.6139254719018936,1.5928711891174316,0.0010635840928393504,0.00849112187235589
0.2639,1.6139109146595003,1.592308464050293,-0.019870883713701187,0.010385985692377003
0.27405,1.6133332353830339,1.5927797102928163,-0.04444771902806467,0.011176345678028823
0.2842,1.613054060935974,1.5935049438476563,-0.07207229195596741,0.01078212263863752
0.29435,1.6135764759778977,1.593619511127472,-0.10191280635549349,0.009240593767027447
0.3045,1.6121966123580933,1.5935702800750733,-0.13293286435536428,0.006703756239718813
0.31465,1.6104520982503892,1.5943443250656129,-0.16394367125439277,0.003423812787022685
0.3248,1.6096138429641722,1.5949318313598633,-0.19367288026305807,-0.0002722209290202758
0.33495,1.6082234030961988,1.59492844581604,-0.22084514618085097,-0.004016438837016782
