time,Rel_R_HIP_pos,Rel_R_KNE_pos,Rel_R_HIP_vel,Rel_R_KNE_vel
0.0,1.680781364440918,1.63191556930542,-0.12935459506199956,0.1050562792171546
0.01015,1.679467713832855,1.63290424823761,-0.10532699076639489,0.1511930585803512
0.0203,1.6798588311672211,1.6316349077224732,-0.08208028183635516,0.19524067978038917
0.03045,1.6802389740943908,1.6378701519966126,-0.06029992403873408,0.23642272352238597
0.0406,1.6793662977218629,1.6401634979248048,-0.040561725876783646,0.2741776603340712
0.05075,1.6793337792158127,1.6405206799507142,-0.02329415530650866,0.3081832983888239
0.0609,1.6799042880535124,1.6452491807937621,-0.00875553772825876,0.3383609046527056
0.07105,1.6795815587043763,1.6481477284431458,0.0029721999951248476,0.364857988344692
0.0812,1.679434266090393,1.6522411155700685,0.011973562426516126,0.38801073566248806
0.09135,1.6803244405984878,1.6571878623962402,0.018475449624652696,0.4082891057942235
0.1015,1.6806837975978852,1.662134313583374,0.02281265996076869,0.42622944300160276
0.11165,1.6779256623983383,1.6650650238990785,0.02538745194079943,0.442360926628689
0.1218,1.679291076660156,1.670899829864502,0.026627982300251547,0.45713308213111
0.13195,1.6793166089057923,1.6741098546981812,0.026950137179636235,0.4708517661123121
0.1421,1.6796384286880492,1.6779673528671264,0.026726475483365604,0.48363044605572947
0.15225,1.6803962498903275,1.683494973182678,0.02626486185437658,0.49536224647862553
0.1624,1.6803261137008667,1.6876416206359863,0.025798050683348745,0.5057162518950375
0.17255,1.680582669377327,1.693348786830902,0.025484148987635888,0.5141591484845563
0.1827,1.680824463367462,1.6987379837036132,0.025416665555129798,0.5200007054789197
0.19285,1.6812260121107103,1.7024570202827451,0.025641850595776606,0.5224591142465198
0.203,1.6807485461235045,1.7082742691040038,0.02618032538088213,0.5207400759944799
0.21315,1.6813006031513216,1.7132916903495787,0.027049654392220804,0.5141219843811003
0.2233,1.6812279164791106,1.7184753465652465,0.028284558237472,0.5020387651340681
0.23345,1.6817364794015885,1.7240971851348879,0.029951907375087208,0.4841520209317938
0.2436,1.6836340618133545,1.730301971435547,0.03215843629635078,0.4604051068462803
0.25375,1.6841839998960495,1.7352191805839539,0.03505018602043935,0.4310535452990798
0.2639,1.6845343148708343,1.7394051218032835,0.038803877994604365,0.39666859031841234
0.27405,1.685109004974365,1.7440440583229067,0.043611565205517504,0.3581134937139731
0.2842,1.6854201102256776,1.7491812419891357,0.049660810882398626,0.316494786429719
0.29435,1.6853549444675444,1.7516383194923402,0.05711316140959352,0.2730933395742449
0.3045,1.6850226879119874,1.752576732635498,0.06608373046620848,0.22928182783870035
0.31465,1.6842879021167754,1.75494234085083,0.07662431240904559,0.18643628514924712
0.3248,1.6848993062973023,1.7565781593322753,0.08871170377553063,0.14584963709039733
0.33495,1.687268813252449,1.7571992683410644,0.10224200933215488,0.10865446200198364
0.3451,1.6884840476512908,1.758316626548767,0.11703084197291241,0.07576092567017713
0.35525,1.6895914494991302,1.7598501563072204,0.13281866100317816,0.04781407235804896
0.3654,1.6909851717948914,1.7608666515350342,0.14928012488000908,0.025172674039269212
0.37555,1.694113888144493,1.7614232611656189,0.16603626862127566,0.0079098536202073
0.3857,1.6958778536319734,1.760411958694458,0.18266848395839552,-0.004166124886518588
0.39585,1.6968661880493165,1.7600298523902893,0.19873356672959366,-0.01147404381325921
0.406,1.6989609003067017,1.75984468460083,0.21377937509187964,-0.014609205325188106
0.41615,1.7000794088840485,1.759539384841919,0.22736081353560264,-0.014285222050198425
0.4263,1.7014962720870972,1.760425386428833,0.2390558758865793,-0.011273391651464482
0.43645,1.704301737546921,1.7609049892425537,0.24848136586036146,-0.006344661561255584
0.4466,1.7073225045204163,1.7612314319610596,0.2553077389984996,-0.00021847831710123107
0.45675,1.7110692769289018,1.761177921295166,0.2592723665673221,0.006478242154594418
0.4669,1.713336764574051,1.7605134916305543,0.2601904826331142,0.01324004154257457
0.47705,1.7149924051761627,1.7614080786705015,0.2579631682521344,0.019699048969720953
0.4872,1.7178046417236328,1.7598449325561523,0.2525819334072729,0.025628795589827485
0.49735,1.7223040437698365,1.7607777643203735,0.24412972917818335,0.030937161580348163
0.5075,1.724424958229065,1.761305809020996,0.2327784991506814,0.03565060738142055
0.51765,1.7255386048555375,1.762601773738861,0.21878360133890126,0.03989227209562203
0.5278,1.727912998199463,1.7625498390197754,0.20247555356551075,0.04385668921968864
0.53795,1.7287904262542724,1.7622647523880004,0.18424955698612724,0.04778379004953634
0.5481,1.7318483829498292,1.7633837747573853,0.1645531548100535,0.05193456058622958
0.55825,1.7319175183773041,1.7619951605796813,0.14387224573799354,0.0565702252456976
0.5684,1.734183282852173,1.7638202857971192,0.122715572999245,0.06193620903785686
0.57855,1.7369615757465362,1.7646435308456423,0.10159781820929666,0.06825145690337649
0.5887,1.7381418883800506,1.7661776399612426,0.08102157478333398,0.07570304521543424
0.59885,1.7378530478477476,1.7660112357139588,0.06145873668551319,0.08444546984336998
0.609,1.7394607424736022,1.7670031547546388,0.04333214618005164,0.09460357342501799
0.61915,1.740251380801201,1.768000705242157,0.026998605629734673,0.10627779302721338
0.6293,1.7398341858386994,1.7690573406219483,0.012734485787924675,0.11955026860134077
0.63945,1.7385496771335602,1.7698111295700072,0.000725101473929911,0.1344903539610893
0.6496,1.7386329746246338,1.7703071212768555,-0.008941231682892313,0.15115822113351984
0.65975,1.7386657416820526,1.773123073577881,-0.01627395437921848,0.1696055504555164
0.6699,1.7390445423126222,1.7744722080230713,-0.02137580729168288,0.18987274480683672
0.68005,1.739904134273529,1.7796266674995422,-0.0244335870405959,0.21198266246034322
0.6902,1.737615385055542,1.778825397491455,-0.025704894638585014,0.23593145836797894
0.70035,1.7385651981830597,1.783145706653595,-0.025501876418837825,0.2616776558612585
0.7105,1.7396688818931578,1.7831315994262695,-0.024173046176095007,0.28913093063425105
0.72065,1.7383196198940276,1.787068018913269,-0.022084266083724546,0.3181421973484585
0.7308,1.7378448057174682,1.7889882850646974,-0.019599896791486437,0.34849642599553043
0.74095,1.7372126746177674,1.7941805744171144,-0.01706504542277594,0.3799092242885458
0.7511,1.73678612947464,1.7977032184600832,-0.0147897680335144,0.41202769315170484
0.76125,1.7369025647640228,1.8015179634094238,-0.013036017900498154,0.4444354994971029
0.7714,1.7374058723449708,1.8054892826080322,-0.012008047433955537,0.4766616094166077
0.78155,1.7368126612901689,1.810341670513153,-0.011846837635664966,0.508191761168411
0.7917,1.737006986141205,1.8145487260818483,-0.012628924641142153,0.5384815845095842
0.80185,1.7369622725248337,1.8228319883346558,-0.014369719267109194,0.5669703187185101
0.812,1.736695647239685,1.8294793128967286,-0.01703109381970908,0.5930943363022025
0.82215,1.736444600224495,1.8339915752410891,-0.020532673432897827,0.6163000842070175
0.8323,1.7359322321414947,1.8397978496551515,-0.024765952160524636,0.6360565056222792
0.84245,1.7361658322811127,1.8464622545242313,-0.029610088755047417,0.6518673813130166
0.8526,1.735964183807373,1.8527074432373047,-0.03494804995974835,0.6632842286949192
0.86275,1.7357801645994186,1.8596321821212771,-0.04068168238766715,0.669920367531354
0.8729,1.7352276039123535,1.866705484390259,-0.046744326797208816,0.6714665045753244
0.88305,1.734517651796341,1.8743531894683838,-0.05310975469459133,0.6677077467584802
0.8932,1.734083194732666,1.8797913932800294,-0.059796508752011625,0.6585413886775684
0.90335,1.7332822066545486,1.8852394914627073,-0.06686714791582891,0.6439942174490315
0.9135,1.7314679503440857,1.8912683010101319,-0.0744223937867395,0.6242375372759834
0.92365,1.7306999886035919,1.89825368642807,-0.08259068420551248,0.5995977545947124
0.9338,1.7309531688690187,1.9052267360687258,-0.09151409000217356,0.5705602984999206
0.94395,1.7312592947483063,1.912390899658203,-0.10133187651598342,0.5377649598819232
0.9541,1.7293519389629366,1.9180850505828857,-0.11216315592013863,0.5019914222804482
0.96425,1.7276781111955644,1.922497570514679,-0.1240900825227693,0.46413474430669516
0.9744,1.7271139907836912,1.9270305824279788,-0.13714292754339794,0.42517168263491806
0.98455,1.7253894770145415,1.9312179780006409,-0.15128818118317916,0.38611983317010806
0.9947,1.723309942483902,1.9351236295700072,-0.16642060711788254,0.347992451624042
1.00485,1.7215384209156035,1.9386270976066589,-0.1823599363010561,0.31175237634045505
1.015,1.720629334449768,1.9429728984832764,-0.19885263309928616,0.2782686528051083
1.02515,1.7180957949161528,1.9451215744018557,-0.2155788877690027,0.24827923535779964
1.0353,1.714990246295929,1.9460941791534423,-0.2321646766715866,0.22236254251651089
1.04545,1.7137499517202377,1.9482013368606568,-0.24819838637659095,0.2009197339541129
1.0556,1.7122690391540525,1.950708637237549,-0.26325113494059194,0.18416846793351277
