time,Rel_R_HIP_pos,Rel_R_KNE_pos,Rel_R_HIP_vel,Rel_R_KNE_vel
0.0,0.4894141856476534,0.1282055377997048,-0.0980898869484226,-0.02781688147378749
0.0016290998196601867,0.48833927780679154,0.12790577897471467,-0.14405535431341074,-0.040345177117037376
0.0032581996393203734,0.48712814953736205,0.12757117001102738,-0.1850191757314526,-0.05128248378757652
0.0048872994589805605,0.4857169810322802,0.1271853834814581,-0.21863806038488426,-0.05988341688795385
0.006516399278640747,0.4841124700743006,0.1267552573752705,-0.24434879397789225,-0.06594882155804863
0.008145499098300934,0.48242780230223004,0.12630831247661253,-0.2665559390925433,-0.07088528840346048
0.009774598917961121,0.48061606746170815,0.12583792593049142,-0.2827457838041479,-0.07387203104919654
0.011403698737621306,0.47874096982827863,0.12536119729293949,-0.29522613730690334,-0.07563982842323538
0.013032798557281493,0.47682567782100227,0.12488072222441932,-0.3053190797258985,-0.07662238504329794
0.01466189837694168,0.47485587617964864,0.1244053574202925,-0.31091159053038964,-0.07609808857135027
0.016290998196601868,0.47287717025387005,0.12393746434564083,-0.314986081360801,-0.07505255233151985
0.017920098016262053,0.4708866908853516,0.12347945055773966,-0.31705341244770674,-0.07331782128748893
0.019549197835922242,0.4689010810802195,0.12304380749036424,-0.3169061695249662,-0.07079625525658972
0.021178297655582427,0.4669225327085184,0.12262075880893658,-0.31585361989654487,-0.06794500614439568
0.022807397475242613,0.4649632268677615,0.12222354995404298,-0.3133194833259465,-0.06454204165971403
0.0244364972949028,0.46302931847148426,0.12185191678781707,-0.3098830272132735,-0.06078014165456405
0.026065597114562987,0.46111182770259684,0.12149653798064322,-0.3059030414092791,-0.05680006663374289
0.027694696934223172,0.4592407481465875,0.12118271792782666,-0.3010133581474523,-0.05242161726857695
0.02932379675388336,0.4573947803207837,0.12089029786979893,-0.29584342003366204,-0.047900812909824085
0.030952896573543547,0.45557875340407117,0.12062339319017326,-0.2903393319040696,-0.04321027759717917
0.032581996393203735,0.4538131215908273,0.12039884812873997,-0.28453717273565404,-0.03832438065567662
0.03421109621286392,0.4520715640911565,0.12019465241796531,-0.2786500039033205,-0.03336455371838711
0.035840196032524106,0.45037395477789877,0.12002771049720558,-0.272660954415148,-0.02828778468122391
